record id,contact id,meeting date,survey status
zcrm_154298286039292433,zcrm_469988994022101615,22/08/2025 06:38,survey completed
zcrm_831464618938409264,zcrm_654355823235372609,11/05/2025 11:35,survey completed
zcrm_717997683476891634,zcrm_404736297423240137,07/07/2024 19:11,call 4
zcrm_980297540501782549,zcrm_618290928579541009,22/12/2024 13:41,call 4
zcrm_909419956483392044,zcrm_889386178628770027,15/11/2024 11:16,call 3
zcrm_085177426096933814,zcrm_405668876409980742,02/11/2024 10:48,survey failed
zcrm_272931930686263114,zcrm_870709857258565353,22/08/2024 05:50,call 1
zcrm_745517764113710958,zcrm_375352331101321384,25/02/2025 07:58,call 4
zcrm_493267037967957246,zcrm_278678974292594178,29/12/2024 12:23,call 5
zcrm_876874618624203494,zcrm_761547323369073929,01/08/2024 03:46,call 3
zcrm_445284761466961113,zcrm_779046070715512908,06/02/2025 19:12,call 2
zcrm_346655283890277243,zcrm_357764893532325988,12/08/2025 21:14,call 3
zcrm_239205232962755772,zcrm_201793306734664481,16/05/2025 02:52,survey failed
zcrm_110659835428614599,zcrm_705325494295562479,08/05/2025 20:25,call 2
zcrm_553128329729010341,zcrm_441426160941233194,31/07/2025 06:12,survey failed
zcrm_156352600002714571,zcrm_136947159735915538,13/02/2025 04:35,survey completed
zcrm_805331651675731741,zcrm_879741500938161475,16/09/2024 07:48,call 4
zcrm_045468781628141218,zcrm_090420787021090821,24/08/2024 12:00,survey failed
zcrm_394361184277733357,zcrm_996524675629222281,09/11/2024 03:33,call 4
zcrm_340092584594038948,zcrm_269525684697321605,10/07/2024 03:38,survey completed
zcrm_124610488670436353,zcrm_573252758018746359,05/07/2024 12:15,call 2
zcrm_979235214542641888,zcrm_157456670115576523,16/02/2025 12:59,call 2
zcrm_386205191919575721,zcrm_450395192985861963,07/01/2025 01:35,survey completed
zcrm_567984812961050766,zcrm_001976599664800960,05/03/2025 04:23,call 4
zcrm_129753634519896657,zcrm_991865148374971342,24/07/2025 20:47,survey completed
zcrm_270282118539179924,zcrm_208975990615346222,12/10/2024 08:38,call 5
zcrm_143425647244468871,zcrm_200401560771685700,27/04/2025 07:44,call 3
zcrm_430249280356226160,zcrm_654529677651612283,08/08/2025 05:28,call 3
zcrm_781015564658641406,zcrm_393787393694295451,13/01/2025 08:42,call 5
zcrm_587394776780325835,zcrm_091863806533333331,25/01/2025 12:08,call 5
zcrm_180029426679465408,zcrm_972901449194285209,13/07/2025 05:59,call 5
zcrm_081639680396711742,zcrm_550348540362336823,03/06/2025 07:41,call 4
zcrm_896362810263289412,zcrm_031013366740596219,27/03/2025 15:53,call 4
zcrm_222946336989398998,zcrm_609478859017555429,21/05/2025 03:51,call 1
zcrm_771717886414690595,zcrm_321178194092166649,06/12/2024 04:56,survey completed
zcrm_113619797262832308,zcrm_474681104877645155,19/12/2024 11:51,survey failed
zcrm_122040455934716925,zcrm_414785965238342037,08/08/2025 20:11,survey completed
zcrm_176949243759400182,zcrm_692490453153571683,16/04/2025 12:37,survey completed
zcrm_725018804297739323,zcrm_501103754509777213,18/02/2025 16:50,call 4
zcrm_654716262332217903,zcrm_546727530865574900,12/09/2025 06:52,call 1
zcrm_859126900129647822,zcrm_947991263290898780,12/08/2025 01:22,call 3
zcrm_652223488529422936,zcrm_431673233777973186,28/02/2025 17:53,survey completed
zcrm_324361853900773471,zcrm_993320897621958244,20/03/2025 10:28,call 5
zcrm_763746451265158872,zcrm_204305908298009883,07/08/2024 05:22,call 4
zcrm_867072032496093728,zcrm_385916097102924002,07/08/2025 06:44,call 3
zcrm_337708716046928915,zcrm_847005659441997002,24/08/2025 07:55,call 3
zcrm_677565205742862761,zcrm_429730921363166243,16/07/2024 14:28,survey failed
zcrm_621131081315794934,zcrm_198323714923439275,18/12/2024 04:36,call 4
zcrm_438335597851330424,zcrm_279197305033022067,03/08/2024 15:47,call 3
zcrm_707062111331287319,zcrm_138683795563825953,15/07/2024 03:39,call 3
zcrm_312032065203104223,zcrm_366661630465303238,17/06/2025 06:08,call 5
zcrm_945729201178904959,zcrm_674171707418384949,11/05/2025 05:52,call 4
zcrm_813787564406765687,zcrm_569006473969133838,29/05/2025 21:35,survey failed
zcrm_460815531388445210,zcrm_429383260288340408,03/08/2024 19:12,call 4
zcrm_900775273250871013,zcrm_000814396157941689,12/11/2024 16:58,call 1
zcrm_022972353390512290,zcrm_902243935228371267,25/08/2024 23:49,call 1
zcrm_740403809480225686,zcrm_232407871012754506,16/08/2025 12:09,call 2
zcrm_431785061878219644,zcrm_014428570452456335,02/07/2024 11:23,call 4
zcrm_109887623380521701,zcrm_500539830469270758,29/11/2024 08:18,call 5
zcrm_161685388661137172,zcrm_990072818058335604,06/09/2025 21:53,survey failed
zcrm_401292063312199243,zcrm_363424056099016150,29/10/2024 12:01,call 1
zcrm_446768947426194574,zcrm_451324865458232135,13/12/2024 16:05,call 2
zcrm_394933404896021959,zcrm_612551905630194185,11/04/2025 02:55,survey failed
zcrm_168806711177282607,zcrm_289815116650488853,28/01/2025 06:42,survey completed
zcrm_160029379091316637,zcrm_182442599315386515,29/11/2024 06:32,survey completed
zcrm_914187402772348166,zcrm_806182013652895055,14/08/2025 14:42,survey failed
zcrm_947640316481292322,zcrm_584529021577507595,27/03/2025 01:30,survey failed
zcrm_970446364630808337,zcrm_645596453970394386,03/01/2025 03:08,call 4
zcrm_337543721316789636,zcrm_820235381157945654,12/12/2024 04:04,survey failed
zcrm_935780140421904026,zcrm_575497447756207896,04/05/2025 23:24,call 2
zcrm_763680762300946729,zcrm_287700809702372757,03/11/2024 16:10,call 3
zcrm_796628106737529507,zcrm_087689662594221356,12/10/2024 04:20,survey completed
zcrm_834059802352484409,zcrm_235897024805765835,26/04/2025 00:43,call 3
zcrm_765850990403114109,zcrm_808238371243586790,24/11/2024 22:29,survey failed
zcrm_985402066873206204,zcrm_966762835376450704,20/02/2025 05:44,call 4
zcrm_189957064689120864,zcrm_320600197783051018,28/05/2025 06:56,survey completed
zcrm_971910757763895677,zcrm_848693851845532957,20/10/2024 07:32,call 2
zcrm_931051282410028063,zcrm_842774705544297370,20/03/2025 18:07,call 5
zcrm_169269289237400315,zcrm_656564206664376762,17/12/2024 15:37,survey completed
zcrm_388688227919514741,zcrm_601688369041681916,08/01/2025 21:50,call 5
zcrm_214375491943134781,zcrm_350925953006633951,09/05/2025 20:46,survey completed
zcrm_816472884307499312,zcrm_010450735594524019,18/07/2025 06:22,survey failed
zcrm_114132333470221152,zcrm_269204157430702609,19/06/2025 16:35,survey completed
zcrm_463573430582068560,zcrm_373333120272854494,01/10/2024 07:03,call 4
zcrm_617915803142236815,zcrm_878524349938659916,30/03/2025 04:05,call 1
zcrm_731856255273626456,zcrm_125284813187724983,03/09/2025 20:40,survey failed
zcrm_178247914533265768,zcrm_078122458595681704,01/06/2025 16:20,survey completed
zcrm_832887740148648497,zcrm_627683423698376574,06/06/2025 10:13,survey completed
zcrm_173407833930819675,zcrm_991878640749350571,04/05/2025 10:28,call 1
zcrm_287404585242851461,zcrm_680340133191049968,11/09/2025 12:59,call 4
zcrm_803239886374224522,zcrm_680193869138417026,22/02/2025 13:06,call 3
zcrm_524656576084713050,zcrm_867838960462484339,16/06/2025 06:15,call 4
zcrm_900695881922495489,zcrm_070238080932118883,02/06/2025 08:53,call 4
zcrm_912378919283703630,zcrm_221743170663286718,04/07/2025 07:40,call 1
zcrm_087379647331573016,zcrm_731152344798602592,03/07/2025 14:04,survey failed
zcrm_029150822154620925,zcrm_375887164605587191,13/08/2024 20:38,call 1
zcrm_061091026527555533,zcrm_041436562599705612,10/02/2025 11:29,survey failed
zcrm_852533227264932224,zcrm_370129070908492265,17/12/2024 01:08,survey failed
zcrm_386882036536196341,zcrm_094009900773412677,16/05/2025 00:11,survey completed
zcrm_970737859215682653,zcrm_568645647597298652,21/04/2025 15:30,call 4
zcrm_711699291930466755,zcrm_358036383730400721,28/09/2024 16:10,survey completed
zcrm_606002501851732433,zcrm_724589250252166302,06/08/2024 12:04,call 2
zcrm_882406176800309887,zcrm_257494116195602922,13/02/2025 05:56,call 4
zcrm_268774152279043099,zcrm_756396460725427721,04/07/2024 00:20,survey completed
zcrm_327047567064693908,zcrm_040329749254648386,25/06/2025 05:54,call 2
zcrm_024101680265571509,zcrm_289089959315648247,29/12/2024 17:22,survey failed
zcrm_617976632236684536,zcrm_794445604430931551,07/01/2025 13:24,survey completed
zcrm_802080880269257744,zcrm_551339647207946690,02/09/2025 05:26,call 5
zcrm_755216990956717284,zcrm_524679785869136752,02/07/2024 11:24,call 2
zcrm_169277098693592095,zcrm_895055965900767679,11/05/2025 16:11,call 4
zcrm_984830706766929473,zcrm_427287085184848083,02/12/2024 00:11,call 3
zcrm_176817929137757552,zcrm_370311876390339669,05/11/2024 08:55,survey failed
zcrm_695252089478967690,zcrm_419274868429344280,10/03/2025 05:22,call 2
zcrm_342942427415914285,zcrm_188465094201901484,22/08/2024 00:16,call 5
zcrm_199068277021523443,zcrm_437489335433849698,27/07/2024 19:57,call 4
zcrm_180616959617667161,zcrm_707559421851068422,26/08/2024 17:02,call 1
zcrm_687181259278602358,zcrm_487404074247015810,14/04/2025 21:29,call 1
zcrm_514578044574638003,zcrm_743305642807919676,07/05/2025 09:21,call 2
zcrm_967984102967171256,zcrm_019186129419796227,29/01/2025 13:00,call 3
zcrm_880200805143896531,zcrm_939879158010297151,09/08/2025 19:36,call 2
zcrm_053420581908001283,zcrm_768474972187556678,08/11/2024 20:14,call 5
zcrm_381080630079012691,zcrm_498467716544914388,27/07/2024 23:57,call 5
zcrm_783684952010949974,zcrm_744073729304888477,19/10/2024 19:11,call 4
zcrm_506734911892525780,zcrm_849216876637421189,07/09/2025 13:12,call 4
zcrm_126589253531488044,zcrm_364001803848207530,20/03/2025 10:28,call 2
zcrm_505942509301331157,zcrm_533234164937867273,08/08/2024 08:40,call 4
zcrm_880855732159584456,zcrm_132394383811995581,13/10/2024 12:13,call 5
zcrm_358870571309015735,zcrm_498413527154592000,12/11/2024 13:26,call 5
zcrm_545534617602731104,zcrm_103216231071504331,11/01/2025 03:02,call 3
zcrm_050606501739008472,zcrm_044983720805393739,05/09/2024 14:19,survey failed
zcrm_878506404968056124,zcrm_970257244156553447,06/09/2025 17:45,call 3
zcrm_346301180423019852,zcrm_481414723550047203,31/01/2025 12:52,call 4
zcrm_732748625646659322,zcrm_023058530190390749,26/10/2024 02:31,call 5
zcrm_031889012568331389,zcrm_649446955048225747,20/07/2024 20:48,call 2
zcrm_538478332707693143,zcrm_892765190528510333,01/07/2024 10:28,survey completed
zcrm_437889267689182928,zcrm_109159994510749296,02/05/2025 05:07,call 1
zcrm_274384818301506663,zcrm_767972889980737345,28/05/2025 07:13,survey completed
zcrm_086129659142431588,zcrm_021459257834003667,25/12/2024 05:57,survey failed
zcrm_886109158875119296,zcrm_628725988125732971,31/05/2025 13:15,call 1
zcrm_732266852893031523,zcrm_404898831703500098,27/09/2024 04:03,call 2
zcrm_196330140214818265,zcrm_077843280690378376,10/05/2025 13:56,call 4
zcrm_969582227231912510,zcrm_304997083307821121,19/07/2024 04:47,call 3
zcrm_119623386423758816,zcrm_059390202934867955,19/07/2024 11:55,survey completed
zcrm_250620524021573735,zcrm_210128073269054975,08/09/2024 12:59,survey completed
zcrm_961994436076066812,zcrm_183683680907145869,10/09/2025 03:33,survey failed
zcrm_196123368770864243,zcrm_129923994078895459,02/02/2025 04:08,survey failed
zcrm_077397357456638585,zcrm_371886234984762936,22/12/2024 08:28,survey failed
zcrm_885759677956243230,zcrm_806098603713698964,14/11/2024 04:01,call 4
zcrm_476342129228269517,zcrm_992768376939888734,04/12/2024 05:31,call 5
zcrm_779166749464327652,zcrm_227115042292590042,05/09/2025 22:36,call 3
zcrm_570554031040940462,zcrm_284753007754450765,15/06/2025 23:42,call 5
zcrm_500660344870948319,zcrm_245205785910633041,14/11/2024 00:10,call 4
zcrm_925318671288592380,zcrm_414299790176262908,05/11/2024 12:09,call 4
zcrm_874673020998978729,zcrm_957688632684120405,26/11/2024 10:29,call 4
zcrm_884717944614387003,zcrm_305847849319212575,05/07/2024 18:30,call 2
zcrm_137403311520670937,zcrm_885643597743190446,01/07/2024 11:33,call 3
zcrm_473184532178834876,zcrm_673201237077323214,17/04/2025 12:22,call 1
zcrm_137157408534339639,zcrm_029635526408079558,30/12/2024 20:03,call 2
zcrm_399405917543674902,zcrm_315984208508238083,29/09/2024 08:21,call 2
zcrm_046388002563255249,zcrm_717056295171795671,14/09/2025 07:14,call 2
zcrm_283427013657988639,zcrm_696877665637908586,04/07/2024 12:13,call 3
zcrm_954654295596217247,zcrm_072909786165034448,29/12/2024 14:12,survey failed
zcrm_278557860379397448,zcrm_525626877536781989,13/08/2025 19:39,call 4
zcrm_485545738626140349,zcrm_970805133687990366,05/08/2025 17:46,call 3
zcrm_040102537610571368,zcrm_815278765566081192,17/09/2024 09:31,survey failed
zcrm_043363121525531084,zcrm_578363514750720647,31/03/2025 06:57,call 2
zcrm_542901425089858638,zcrm_236570881780307318,18/05/2025 05:57,call 5
zcrm_715874420435780010,zcrm_713700584869206540,07/12/2024 11:38,survey failed
zcrm_040652219435185473,zcrm_341189356604952632,29/11/2024 10:48,survey failed
zcrm_501241089248575323,zcrm_767319626722938921,09/04/2025 01:24,call 5
zcrm_032991945599195933,zcrm_150831698559483208,02/09/2025 13:59,call 4
zcrm_162678263034613719,zcrm_757156917790758361,15/07/2024 07:54,call 2
zcrm_832998649596951016,zcrm_666017620060948433,27/10/2024 02:00,call 2
zcrm_992593423113225055,zcrm_180771536168762871,20/09/2025 08:45,call 1
zcrm_842989617642699895,zcrm_482335481968772371,01/07/2024 21:52,call 3
zcrm_261300676776420203,zcrm_742097369834346738,01/08/2025 05:38,survey failed
zcrm_783314643500295352,zcrm_739056274060303762,23/01/2025 12:48,call 2
zcrm_613010941627350252,zcrm_775836391853353454,28/08/2025 03:19,call 4
zcrm_165117099686682628,zcrm_512162713198283079,14/07/2024 13:24,survey completed
zcrm_229787534942327974,zcrm_594205958013604627,13/08/2024 02:25,call 5
zcrm_898064065483284292,zcrm_612352602618727543,22/06/2025 22:50,call 4
zcrm_101687482257281418,zcrm_037004957653032405,17/12/2024 04:59,call 3
zcrm_294638404169861370,zcrm_185323924009644161,22/04/2025 07:00,call 1
zcrm_372586220872329086,zcrm_496501179106502635,01/09/2025 13:17,call 1
zcrm_233521430949556005,zcrm_429989449918289412,30/06/2025 18:26,survey failed
zcrm_825170559863728341,zcrm_763209893235968941,20/12/2024 21:37,call 3
zcrm_442366724476593664,zcrm_974309018541598270,19/04/2025 16:41,call 2
zcrm_718685636415295540,zcrm_717990230164565033,01/08/2025 05:16,call 5
zcrm_062656857575266841,zcrm_664046571506771813,22/05/2025 11:06,call 2
zcrm_909265963907920790,zcrm_459839167717824026,14/11/2024 08:20,call 3
zcrm_477780164484363433,zcrm_837952842867060730,04/09/2025 02:19,survey completed
zcrm_411416912824649991,zcrm_014290287223352950,20/01/2025 18:23,call 4
zcrm_046798568422150759,zcrm_568411089655526568,17/09/2024 15:00,call 1
zcrm_104164948593085274,zcrm_435307981496109991,27/08/2025 09:45,survey failed
zcrm_188911140517881836,zcrm_538107640633862344,24/05/2025 05:26,call 3
zcrm_524722347093326585,zcrm_955919958206005011,20/07/2024 20:21,survey failed
zcrm_799547279215145690,zcrm_576198364525443287,04/09/2024 02:53,call 2
zcrm_834855506175512076,zcrm_944308830768832482,29/08/2025 09:44,survey failed
zcrm_429034871850085954,zcrm_769321708322332269,27/07/2024 16:59,call 5
zcrm_136935226513636970,zcrm_610637239125896044,10/09/2025 05:16,call 1
zcrm_575843977601902902,zcrm_116852992068142174,09/11/2024 09:07,survey completed
zcrm_557288040727049442,zcrm_358514827627405171,17/09/2025 12:46,survey completed
zcrm_990228213888006671,zcrm_981027655081284700,08/10/2024 07:19,survey failed
zcrm_757100662282790965,zcrm_332232146981455408,18/02/2025 07:42,call 2
zcrm_160867600668247212,zcrm_344300012011048032,03/02/2025 03:51,call 2
zcrm_568626366567456307,zcrm_161355825768159961,28/08/2024 13:16,call 1
zcrm_445104958183666285,zcrm_404808295938769160,11/05/2025 09:07,call 2
zcrm_858544792935988826,zcrm_781018023933756216,12/07/2025 08:01,call 1
zcrm_090252241010839552,zcrm_644682712632579724,04/07/2025 16:56,call 3
zcrm_828209249601852682,zcrm_518194989142602975,25/07/2024 16:17,call 2
zcrm_573994187572017617,zcrm_811359272146509406,10/05/2025 08:37,survey completed
zcrm_575170977178708505,zcrm_376490576967599459,09/02/2025 22:40,call 1
zcrm_304143607161164178,zcrm_884108691136306434,09/07/2024 09:38,survey completed
zcrm_918558041516874285,zcrm_207353515500061115,01/01/2025 11:50,call 1
zcrm_022797833917419108,zcrm_155078798881145133,19/09/2024 00:45,survey completed
zcrm_580745701105052587,zcrm_341741466896625232,09/07/2024 05:06,call 4
zcrm_254155012864151259,zcrm_590088766037293495,27/07/2024 21:24,call 2
zcrm_664557159366187603,zcrm_613658228529787925,30/08/2025 18:24,survey completed
zcrm_969813295249346256,zcrm_738035082757938816,08/03/2025 10:45,call 3
zcrm_266871255621982237,zcrm_995805108179565607,22/10/2024 11:31,call 4
zcrm_621585408515403742,zcrm_879159859812477891,07/09/2024 04:37,call 2
zcrm_640959183709915557,zcrm_972253787047846316,13/08/2024 00:27,call 2
zcrm_537598650329308947,zcrm_872405831566860231,17/08/2024 13:58,call 2
zcrm_575401480531276587,zcrm_707369181623695980,04/06/2025 20:14,survey completed
zcrm_809389617083204045,zcrm_216549524869365214,13/12/2024 16:41,call 3
zcrm_177108118345163003,zcrm_607721778819831779,22/05/2025 02:59,call 1
zcrm_319429457483016123,zcrm_248347613898355844,31/12/2024 14:20,call 1
zcrm_852058715095379505,zcrm_563117479095668367,14/06/2025 07:20,call 1
zcrm_170914386623261108,zcrm_471488065424659824,22/08/2025 00:15,call 4
zcrm_272758318664157363,zcrm_954908234792278361,06/11/2024 17:26,call 3
zcrm_603508289382637418,zcrm_762141001478889524,15/01/2025 14:49,call 2
zcrm_960223480474080135,zcrm_403008768438671911,06/11/2024 09:34,call 1
zcrm_405482146033053678,zcrm_175086833095224257,04/04/2025 20:10,survey failed
zcrm_772750956765995674,zcrm_349529264997317782,17/08/2025 00:06,survey failed
zcrm_195651432471450380,zcrm_623580369843284619,28/10/2024 13:27,call 5
zcrm_769319769861002134,zcrm_438813741160634964,31/12/2024 23:56,call 2
zcrm_262440365903508524,zcrm_410273415873949473,26/08/2025 03:02,call 5
zcrm_747946330603840606,zcrm_110742341505267537,09/03/2025 19:13,call 1
zcrm_418297787927773018,zcrm_000976314355191182,20/04/2025 14:05,call 2
zcrm_872908111447212455,zcrm_684108629388877730,28/10/2024 11:07,call 2
zcrm_375666171168058946,zcrm_968065197300654171,03/01/2025 14:30,call 4
zcrm_874264877132776692,zcrm_241627758240168608,25/05/2025 01:25,call 4
zcrm_080973336833153496,zcrm_191872878897620950,24/07/2024 22:58,call 5
zcrm_034708195579816959,zcrm_452176011919723806,01/12/2024 19:41,call 2
zcrm_596446952922328032,zcrm_406398988698410042,01/02/2025 10:54,call 1
zcrm_601061915653450104,zcrm_016234733029915330,15/09/2024 00:55,call 1
zcrm_305700705801452458,zcrm_248941134753190438,10/09/2025 10:33,call 3
zcrm_410354012629420062,zcrm_685780881740647792,03/08/2025 12:19,call 1
zcrm_234969256296454875,zcrm_856577527347576214,10/01/2025 22:47,call 5
zcrm_627762852024751103,zcrm_894012661613003817,25/06/2025 11:54,call 3
zcrm_065853407489137445,zcrm_725965843871284416,28/10/2024 13:11,call 3
zcrm_723116001129107472,zcrm_939207212078623787,22/01/2025 17:47,call 2
zcrm_320443844930451783,zcrm_815493834414017847,07/09/2024 00:46,call 1
zcrm_232202345872710218,zcrm_102384265004627409,31/10/2024 12:04,call 3
zcrm_952438396573350978,zcrm_857873840491098122,17/07/2025 16:41,survey completed
zcrm_346120084188807190,zcrm_679946890062878627,20/09/2025 16:12,survey completed
zcrm_079454472750215060,zcrm_186949073391732994,05/01/2025 14:08,survey completed
zcrm_054774354452911870,zcrm_803812995594204442,23/07/2025 00:58,call 3
zcrm_684866478464382330,zcrm_108111451724670842,04/04/2025 23:26,call 1
zcrm_353593900048143706,zcrm_863652574758734549,07/05/2025 21:41,call 1
zcrm_334786860517396962,zcrm_035332776339141788,28/07/2024 14:47,survey failed
zcrm_968283286705849228,zcrm_768280890462356949,28/07/2024 03:21,call 4
zcrm_579573489553539732,zcrm_117631302925126168,28/04/2025 07:48,survey completed
zcrm_114525759683475758,zcrm_352136376247313474,21/04/2025 06:05,survey completed
zcrm_925642602015466222,zcrm_615482713311861665,22/04/2025 05:24,call 1
zcrm_978889113021042301,zcrm_687138021882801132,24/08/2025 18:36,call 3
zcrm_608419884858556770,zcrm_135582481008969555,14/07/2024 14:26,call 5
zcrm_108974052278343145,zcrm_595444508503878722,21/03/2025 03:57,call 3
zcrm_840885102654921624,zcrm_629041184338219673,19/02/2025 07:43,call 3
zcrm_409899095307574363,zcrm_983023191249865431,16/09/2024 16:22,call 1
zcrm_376459386721339388,zcrm_609843035629831689,01/04/2025 06:55,survey completed
zcrm_486954189565325175,zcrm_292303877144181609,26/03/2025 19:43,call 4
zcrm_125014551981559956,zcrm_053726242695387015,18/02/2025 14:33,call 3
zcrm_345070870215559313,zcrm_892070264172104418,25/06/2025 19:16,survey failed
zcrm_616178078553817384,zcrm_650452799295153627,17/04/2025 01:44,survey failed
zcrm_149290565462139830,zcrm_571974192693999265,02/01/2025 01:22,call 1
zcrm_483118868051045651,zcrm_425098335707634815,03/05/2025 14:26,call 3
zcrm_345169210256490469,zcrm_880089242081401059,01/11/2024 20:38,survey failed
zcrm_679719888083434217,zcrm_003827128546052811,15/04/2025 05:43,call 4
zcrm_713826374895466070,zcrm_204749273060228488,29/07/2024 23:19,call 2
zcrm_333300949605068753,zcrm_236967932446935653,16/05/2025 01:25,call 3
zcrm_939346083359287558,zcrm_317560599473629393,12/10/2024 07:37,survey failed
zcrm_267565805844692133,zcrm_260579778452121262,10/12/2024 07:51,survey completed
zcrm_346085608876344939,zcrm_410730020556081854,08/03/2025 00:04,call 5
zcrm_841459272786290092,zcrm_245137706312720907,06/07/2025 14:12,call 3
zcrm_834802533210453401,zcrm_205855936280984659,24/04/2025 20:58,survey completed
zcrm_444961428313493506,zcrm_014202554642855903,19/09/2025 13:17,survey completed
zcrm_373768271430050781,zcrm_620841617046525550,15/07/2024 01:34,survey failed
zcrm_435453872952338156,zcrm_250429003597919010,10/07/2025 14:58,survey completed
zcrm_478464747821709092,zcrm_786065798063240703,27/05/2025 07:41,call 4
zcrm_582913886647205073,zcrm_248167900118346431,13/10/2024 15:54,call 5
zcrm_019202164612286658,zcrm_910601902551206725,16/02/2025 00:36,call 1
zcrm_246784105782764059,zcrm_239050211786495404,20/09/2024 20:39,call 2
zcrm_550095615927227884,zcrm_569613098042026811,09/09/2025 20:06,call 5
zcrm_310322092300202125,zcrm_481371259513964830,19/09/2024 13:55,call 4
zcrm_396091187165187505,zcrm_699310078873859591,12/08/2025 02:50,survey completed
zcrm_915190899630142456,zcrm_259938517560693357,23/12/2024 08:28,call 5
zcrm_614114189439598818,zcrm_327032684348044436,04/06/2025 01:17,call 2
zcrm_974802744361021061,zcrm_024799299775278774,21/02/2025 12:13,call 5
zcrm_921491936140357021,zcrm_182196161203924161,10/09/2024 01:42,call 5
zcrm_103441641242570308,zcrm_635731800773701474,16/04/2025 18:26,survey failed
zcrm_200099787100673312,zcrm_378850146130959524,12/09/2025 15:56,survey failed
zcrm_119268591885736086,zcrm_839823795099225031,19/05/2025 15:20,call 3
zcrm_249227999686579574,zcrm_027250072486273933,05/08/2025 05:39,call 1
zcrm_442444655984047834,zcrm_655894454826989876,04/10/2024 03:42,call 1
zcrm_964351217658549127,zcrm_042891701607410377,14/08/2024 00:25,survey failed
zcrm_391700728860435900,zcrm_118314769806400079,31/10/2024 22:08,call 2
zcrm_859406309119227454,zcrm_625963529669543999,03/09/2025 03:18,call 3
